title,author,預購專案,群眾募資,音樂,攝影,出版,時尚,設計,表演,藝術,科技,教育,遊戲,飲食,空間,社會,插畫漫畫,電影動畫,地方創生,挺好店,新春賀喜,money,time_left,image,video,sponsor_num,target,duration,comment_num,QA_num,website,yt,fb,ig,set_num,set_price
最後一天！全球熱銷200萬套，桌上密室神作《限時解鎖：密室逃脫》最新預購，即將截止,栢龍玩具,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,671233,success,21,1,570,10000,14340,26,8.0,0,0,0,0,3,"[1970, 650, 1180]"
⽇本銀杏原⽊砧板｜⽤⼀塊銀杏砧板，打磨你的料理魂,製材所,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,779281,success,46,2,201,150000,14340,1,13.0,1,0,1,1,6,"[3680, 250, 7300, 3480, 3680, 6980]"
劍橋博士x波隆那入選插畫家｜帶你動手玩數學｜Molly莫莉勇闖數學奇境,小果文創,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38133,success,34,1,58,30000,14340,0,,0,0,0,0,11,"[418, 435, 749, 749, 849, 777, 720, 835, 4002, 7534, 2082]"
2021 植覺 — 喚之旅｜你的線上植物沈浸旅程,植覺,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14505,success,32,0,62,666,14340,0,,1,0,1,0,5,"[111, 150, 1980, 800, 650]"
Orctan 男士按摩器 ｜來自德國 超逼真口愛感,Orctan Taiwan,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1201391,success,25,1,191,50000,14340,1,16.0,0,0,1,0,2,"[6290, 6290]"
2022 Love Equals 「愛．不分彼此，我想對你說」手繪桌曆/紅包袋,Karagraphy Art 塗文設計室,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12960,success,11,1,7,5000,14340,0,2.0,1,0,0,1,6,"[7200, 1680, 900, 880, 520, 500]"
創米小白EC4太陽能全戶型智慧攝影機 | 千里之外，躍然眼前,創米科技,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,452491,success,34,1,62,88888,14340,2,6.0,0,0,1,0,7,"[3980, 4280, 999, 7000, 13500, 33000, 3790]"
智能加熱便當盒 | 讓你只需要窩在自己的座位上就能輕鬆地透過手機來加熱你的便當,Magnus Life,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1027460,success,41,3,334,100000,14340,10,6.0,1,1,1,1,9,"[2480, 1980, 4760, 3760, 13680, 580, 880, 2280, 1880]"
PAMPSHADE 麵包燈｜居家最美味的燈飾品，一鍵點亮安定的療癒光芒,SPL Design,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118800,success,37,1,39,100000,14340,0,6.0,1,0,0,0,4,"[2550, 2990, 2750, 2350]"
【用吸的面膜！Braphy嫩白水光煥顏磁石面膜】結合大自然的神奇力量，讓您在家也能做臉，瞬白有感！,Braphy Taiwan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11440,success,17,1,4,10000,14340,0,,0,0,1,0,6,"[1380, 2080, 1480, 2800, 8100, 13000]"
